Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
Townhouse for sale,"$529,000",3,2.5,"2,854sqft","2,614sqft lot","8317 Moore St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8317-Moore-St_Frisco_TX_75034_M82425-06356?from=srp-list-card
House for sale,"$595,000",3,3,"2,452sqft","3,136sqft lot","4126 Hap Arnold Mews Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4126-Hap-Arnold-Mews_Frisco_TX_75034_M81238-54895?from=srp-list-card
House for sale,"$779,000",4,3.5,"4,048sqft","6,316sqft lot","2742 Hidden Knoll Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2742-Hidden-Knoll-Trl_Frisco_TX_75034_M70880-32127?from=srp-list-card
House for sale,"$839,000",5,4,"4,998sqft","9,148sqft lot","4575 Fallmeadow Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4575-Fallmeadow-Dr_Frisco_TX_75034_M72813-28829?from=srp-list-card
House for sale,"$850,000",6,4,"4,187sqft",0.24acre lot,"1920 Sandstone Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1920-Sandstone-Dr_Frisco_TX_75034_M88533-26305?from=srp-list-card
House for sale,"$1,325,000",4,4,"3,826sqft","8,973sqft lot","1733 Cousins Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/1733-Cousins-Trl_Frisco_TX_75034_M94016-37968?from=srp-list-card
House for sale,"$699,000",4,3.5,"3,123sqft","6,882sqft lot","2772 Barnhill Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2772-Barnhill-Ln_Frisco_TX_75034_M77531-62893?from=srp-list-card
Condo for sale,"$900,000",2,3,"2,589sqft",4.02acre lot,"5270 Town and Country Blvd Apt 113 Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5270-Town-and-Country-Blvd-Apt-113_Frisco_TX_75034_M95029-59336?from=srp-list-card
Townhouse for sale,"$499,999",3,2.5,"2,046sqft","2,614sqft lot","6763 Massa Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6763-Massa-Ln_Frisco_TX_75034_M88118-48240?from=srp-list-card
House for sale,"$2,500,000",4,5.5,"6,096sqft",0.34acre lot,"5305 Spicewood Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5305-Spicewood-Ln_Frisco_TX_75034_M72434-19797?from=srp-list-card
House for sale,"$2,295,000",5,4.5,"5,855sqft",0.36acre lot,"5125 Normandy Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5125-Normandy-Dr_Frisco_TX_75034_M82276-75795?from=srp-list-card
Contingent,"$670,000",4,3.5,"3,708sqft","6,098sqft lot","36 Clear Pond Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/36-Clear-Pond-Dr_Frisco_TX_75034_M77885-14638?from=srp-list-card
Pending,"$2,795,000",5,4.5+,"7,614sqft",0.44acre lot,"5 Savannah Ridge Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5-Savannah-Ridge-Dr_Frisco_TX_75034_M75394-97007?from=srp-list-card
House for sale,"$650,000",4,3.5,"3,271sqft","6,534sqft lot","2545 Sedalia Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2545-Sedalia-Ct_Frisco_TX_75034_M74290-37207?from=srp-list-card
House for sale,"$874,900",4,4.5,"3,408sqft","5,663sqft lot","49 Pristine Pond Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/49-Pristine-Pond-Dr_Frisco_TX_75034_M86153-19032?from=srp-list-card
House for sale,"$825,000",5,4.5,"3,922sqft","8,320sqft lot","2853 Cape Buffalo Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2853-Cape-Buffalo-Trl_Frisco_TX_75034_M89640-69311?from=srp-list-card
House for sale,"$659,000",4,3.5,"3,358sqft","5,489sqft lot","4005 Frio Way Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4005-Frio-Way_Frisco_TX_75034_M86182-48887?from=srp-list-card
House for sale,"$749,900",4,3.5,"3,052sqft","6,926sqft lot","5213 Evening Sun Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5213-Evening-Sun-Dr_Frisco_TX_75034_M88702-06370?from=srp-list-card
House for sale,"$1,010,000",6,4.5,"4,130sqft","8,102sqft lot","2165 Hidalgo Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/2165-Hidalgo-Ln_Frisco_TX_75034_M88087-24411?from=srp-list-card
House for sale,"$785,000",4,3.5,"3,983sqft","9,017sqft lot","5161 Iroquois Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5161-Iroquois-Dr_Frisco_TX_75034_M79125-59479?from=srp-list-card
House for sale,"$785,000",4,3.5,"3,823sqft","8,451sqft lot","4458 Hartebeest Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4458-Hartebeest-Trl_Frisco_TX_75034_M89623-17812?from=srp-list-card
House for sale,"$569,500",4,2.5,"2,501sqft","6,752sqft lot","3537 Navarro Way Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3537-Navarro-Way_Frisco_TX_75034_M85992-73705?from=srp-list-card
House for sale,"$625,000",4,3.5,"3,338sqft","6,316sqft lot","5914 Brookhill Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5914-Brookhill-Ln_Frisco_TX_75034_M71398-21638?from=srp-list-card
House for sale,"$569,900",3,2.5,"1,784sqft","3,790sqft lot","8977 George Cayley Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8977-George-Cayley-Ln_Frisco_TX_75034_M81234-07703?from=srp-list-card
House for sale,"$445,000",3,2,"1,539sqft","8,276sqft lot","8701 Woodstream Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8701-Woodstream-Dr_Frisco_TX_75034_M83735-60771?from=srp-list-card
House for sale,"$1,050,000",5,4,"4,058sqft","7,667sqft lot","6009 Westchester Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6009-Westchester-Ln_Frisco_TX_75034_M84500-18499?from=srp-list-card
House for sale,"$399,500",4,2.5,"2,521sqft","6,534sqft lot","2015 Bishop Hl Little Elm, TX 75034",https://www.realtor.com/realestateandhomes-detail/2015-Bishop-Hl_Frisco_TX_75034_M89268-03371?from=srp-list-card
House for sale,"$775,000",5,3.5,"3,702sqft","7,884sqft lot","4560 Cheetah Trl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4560-Cheetah-Trl_Frisco_TX_75034_M87912-68787?from=srp-list-card
Townhouse for sale,"$499,000",2,2.5,"2,038sqft","2,309sqft lot","8063 Canal St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8063-Canal-St_Frisco_TX_75034_M70700-78899?from=srp-list-card
House for sale,"$830,000",3,3.5,"4,177sqft","5,663sqft lot","5473 Braemar Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5473-Braemar-Dr_Frisco_TX_75034_M79351-50863?from=srp-list-card
House for sale,"$900,000",3,2.5,"3,026sqft","5,663sqft lot","5450 Travis Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5450-Travis-Dr_Frisco_TX_75034_M88148-62655?from=srp-list-card
House for sale,"$1,400,000",5,4.5,"4,784sqft",0.26acre lot,"3960 Briar Tree Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3960-Briar-Tree-Ln_Frisco_TX_75034_M70419-80623?from=srp-list-card
House for sale,"$1,350,000",4,4.5,"3,504sqft",0.3acre lot,"6286 Brentway Rd Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/6286-Brentway-Rd_Frisco_TX_75034_M87819-89995?from=srp-list-card
House for sale,"$599,900",4,2.5,"2,069sqft","3,136sqft lot","4258 Sechrist Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4258-Sechrist-Dr_Frisco_TX_75034_M81229-97778?from=srp-list-card
House for sale,"$1,175,000",4,3.5,"4,593sqft",0.24acre lot,"4657 Limerick Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4657-Limerick-Ln_Frisco_TX_75034_M78141-35233?from=srp-list-card
Contingent,"$1,599,999",5,5.5,"5,051sqft",0.25acre lot,"8249 Treemont Pl Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8249-Treemont-Pl_Frisco_TX_75034_M86455-05852?from=srp-list-card
House for sale,"$847,000",6,3.5,"4,356sqft","7,710sqft lot","3436 Copper Point Ln Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3436-Copper-Point-Ln_Frisco_TX_75034_M77377-26293?from=srp-list-card
